Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
756,Olzaj'lush,Maroris,Maroris Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,741,998.7,479.1,41.72,1.89,52,59°F,Rome,,,,walls,plaza,,,{t1:or;charges:[{charge:annulet;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Olzaj%27lush&population=741&size=8&seed=8563657060756&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
757,Oshsenat,Concatia,Concatia Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,1544,506.37,483.64,41.5,-22.21,948,55°F,Milan,,,citadel,walls,plaza,temple,,{t1:argent;ordinaries:[{ordinary:saltireParted;t:gules;line:straight}];charges:[{charge:gauntlet;t:argent;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Oshsenat&population=1544&size=10&seed=8563657060757&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
758,Sylran,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,711,575.6,481.48,41.6,-18.82,6067,37°F,Tromsø,,,,walls,plaza,,,{t1:sable;ordinaries:[{ordinary:fess;t:or;line:straight}];charges:[{charge:goat;t:or;p:abc;t2:or;t3:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Sylran&population=711&size=8&seed=8563657060758&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
759,Ir,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,119,598.84,484.86,41.44,-17.68,2572,50°F,London,,,,,plaza,,,{t1:gules;charges:[{charge:roundel;t:argent;p:abcpqh;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=119&name=&seed=8563657060759&width=600&height=273&tags=river%2Chighway
760,Nanderion,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,115,611.9,481.27,41.61,-17.04,4019,45°F,Halifax,,,,walls,,,,{t1:azure;division:{division:perPale;t:argent;line:straight};charges:[{charge:fountain;t:azure;p:p;size:0.7};{charge:sun;t:gules;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Nanderion&population=115&size=6&seed=8563657060760&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
761,Lintavamin,Amakei,Amakei Province,Lauyien,Kingdom of Lauyien,Vealian,Deities of Wisdom,539,1510.56,482.75,41.54,26.95,210,59°F,Rome,,,citadel,,plaza,,,{t1:vert;charges:[{charge:horseshoe;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lintavamin&population=539&size=7&seed=8563657060761&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
762,Luklo,Nauma,Nauma Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,1273,1682.03,481.24,41.61,35.35,328,57°F,Batumi,,,citadel,,plaza,,,{t1:azure;division:{division:perCross;t:or;line:straight};charges:[{charge:ratRampant;t:argent;p:jo;t2:argent;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Luklo&population=1273&size=10&seed=8563657060762&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
763,Waiying,Nauma,Nauma Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,978,1600.61,488.88,41.24,31.36,738,57°F,Batumi,,,citadel,walls,plaza,,,{t1:purpure;charges:[{charge:key;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Waiying&population=978&size=9&seed=8563657060763&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
764,Hinsenathyr,Concatia,Concatia Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,792,506.3,496.19,40.89,-22.21,5250,41°F,Riga,,,,walls,plaza,,,{t1:semy_of_heart-argent-gules-small;charges:[{charge:lochaberAxe;t:sable;p:e;t2:vert;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Hinsenathyr&population=792&size=8&seed=8563657060764&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
765,Sarith,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,115,574.42,497.77,40.81,-18.88,4990,41°F,Riga,,,,,,,,{t1:argent;ordinaries:[{ordinary:cross;t:gules;line:potentyDexter}];charges:[{charge:stagPassant;t:or;p:beh;t2:or;size:0.3}];shield:heater},https://watabou.github.io/village-generator/?pop=115&name=&seed=8563657060765&width=600&height=273&tags=highway%2Cfarmland%2Cno+square
766,Capjer,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,670,1102.09,499,40.75,6.96,840,55°F,Milan,,,,walls,plaza,,,{t1:purpure;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:anchor;t:azure;p:ach;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Capjer&population=670&size=8&seed=8563657060766&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
767,Daukaishan,Amakei,Amakei Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,374,1528.42,495.77,40.91,27.83,3153,48°F,Copenhagen,,,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:fess;t:argent;line:straight}];charges:[{charge:foot;t:purpure;p:def;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=374&name=&seed=8563657060767&width=800&height=364&tags=dead+end%2Cdense
768,Chaullenas,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,1682,554.67,503.62,40.52,-19.84,2051,52°F,Antwerp,,,citadel,,plaza,temple,,{t1:purpure;division:{division:perFess;t:argent;line:straight};charges:[{charge:crossHummetty;t:or;p:jlh;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Chaullenas&population=1682&size=11&seed=8563657060768&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
769,Ar'thuss,Imins,Imins Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Craft,389,937.01,500.35,40.68,-1.13,840,55°F,Milan,,,,,plaza,,,{t1:gules;charges:[{charge:monk;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=389&name=&seed=8563657060769&width=800&height=364&tags=highway%2Cfarmland%2Cdense
770,Naksurrika,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,1914,1015.89,500.83,40.66,2.74,52,59°F,Rome,,,citadel,walls,plaza,,,{t1:azure;ordinaries:[{ordinary:pileInBend;t:argent}];charges:[{charge:anvil;t:gules;p:e;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Naksurrika&population=1914&size=11&seed=8563657060770&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
771,Cosais,Nanli,Nanli Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,289,1454.2,500.5,40.68,24.2,118,59°F,Rome,,,,walls,plaza,,,{t1:gules;charges:[{charge:greyhoundRampant;t:or;p:jlh;t2:argent;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Cosais&population=289&size=6&seed=8563657060771&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
772,Yimhoiu,Nauma,Nauma Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,126,1621.57,503.13,40.55,32.39,118,59°F,Rome,,,,,plaza,,,{t1:counterVair-sable-or-small;charges:[{charge:wyvern;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=126&name=&seed=8563657060772&width=600&height=273&tags=river%2Cdead+end
773,Kariquarien,Concatia,Concatia Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,552,523.28,509.12,40.26,-21.38,5515,39°F,Reykjavik,,,,walls,plaza,,,{t1:sable;ordinaries:[{ordinary:cross;t:argent;line:nowyReversed}];charges:[{charge:bearRampant;t:sable;p:beh;t2:sable;t3:sable;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Kariquarien&population=552&size=7&seed=8563657060773&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
774,Sshanlumye'a,Concatia,Concatia Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,362,531.53,508.44,40.29,-20.98,3573,46°F,Prague,,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:pilesInPoint;t:azure}];charges:[{charge:owlDisplayed;t:purpure;p:jlh;t2:purpure;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=362&name=&seed=8563657060774&width=800&height=364&tags=highway%2Cdense
775,Leiras,Amakei,Amakei Province,Lauyien,Kingdom of Lauyien,Vealian,Deities of Wisdom,293,1489.19,505.61,40.43,25.91,554,57°F,Batumi,,,,,,,,{t1:vair-azure-argent-small;division:{division:chevronny;t:pappellony-gules-or};charges:[{charge:crossBurgundy;t:vert;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=293&name=&seed=8563657060775&width=800&height=364&tags=dead+end%2Cno+square
776,Poming,Nauma,Nauma Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,301,1569.56,508.28,40.3,29.84,1312,54°F,Paris,,,,,plaza,,,{t1:vert;division:{division:perBend;t:or;line:nowyReversed};shield:heater},https://watabou.github.io/village-generator/?pop=301&name=&seed=8563657060776&width=800&height=364&tags=highway%2Cdense
777,Thillerireth,Concatia,Concatia Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,390,505.82,510.89,40.17,-22.24,3793,46°F,Prague,,,,walls,plaza,,,{t1:sable;ordinaries:[{ordinary:piles;t:or}];charges:[{charge:lute;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Thillerireth&population=390&size=6&seed=8563657060777&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
778,Gopjerji,Armilia,Armilia Province,West Esla,Kingdom of West Esla,Kili'ini,Deities of Trade,870,1144.87,511.36,40.15,9.05,397,57°F,Batumi,,,,walls,plaza,,,{t1:argent;charges:[{charge:scaleImbalanced;t:azure;p:e;t2:azure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Gopjerji&population=870&size=8&seed=8563657060778&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
779,Taityeun,Nauma,Nauma Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,386,1584.11,510.16,40.21,30.56,1890,52°F,Antwerp,,,citadel,,,,,{t1:vairEnPointe-argent-vert;charges:[{charge:monk;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Taityeun&population=386&size=6&seed=8563657060779&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
780,Arkkaj'ij,Imins,Imins Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Craft,819,930.01,516.79,39.88,-1.47,5788,39°F,Reykjavik,,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:helmetZischagge;t:sable;p:ach;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=819&name=&seed=8563657060780&width=1000&height=455&tags=highway%2Cdense
781,Solzar'ka,Imins,Imins Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,361,963.29,516.95,39.88,0.16,1588,54°F,Paris,,,citadel,,plaza,,,{t1:azure;charges:[{charge:arrowsSheaf;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Solzar%27ka&population=361&size=6&seed=8563657060781&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
782,Skuphjej,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,118,1047.83,518.72,39.79,4.3,472,57°F,Batumi,,,,walls,plaza,,,{t1:argent;charges:[{charge:ouroboros;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Skuphjej&population=118&size=6&seed=8563657060782&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
783,Mitha,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,726,1056.44,515.14,39.96,4.72,210,59°F,Rome,,,,,plaza,,,{t1:argent;charges:[{charge:tower;t:azure;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=726&name=&seed=8563657060783&width=1000&height=455&tags=dead+end%2Cdense
784,Midira,Nanli,Nanli Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,170,1427.05,517.29,39.86,22.87,13,59°F,Rome,,,,,plaza,,,{t1:vair-argent-sable;ordinaries:[{ordinary:terrace;t:vert;line:straight}];shield:heater},https://watabou.github.io/village-generator/?pop=170&name=&seed=8563657060784&width=600&height=273&tags=dead+end
785,Areceiras,Ti'yare,Ti'yare Province,Esla,Eslan Empire,Vealian,Deities of the Realm,647,1448.4,518.97,39.78,23.91,30,59°F,Rome,,,,walls,plaza,,,{t1:barry-argent-purpure;ordinaries:[{ordinary:chevron;t:gules}];charges:[{charge:billet;t:argent;p:h;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Areceiras&population=647&size=7&seed=8563657060785&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
786,Louziagoas,Amakei,Amakei Province,Lauyien,Kingdom of Lauyien,Vealian,Deities of Wisdom,442,1483.61,516.44,39.9,25.64,118,59°F,Rome,,,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:terrace;t:argent;line:wavy}];charges:[{charge:heart;t:argent;p:def;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=442&name=&seed=8563657060786&width=800&height=364&tags=highway%2Cfarmland%2Cdense
787,Mar'th'tesh,Imins,Imins Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Craft,1386,902.58,522.45,39.61,-2.81,1588,54°F,Paris,,,citadel,walls,plaza,,,{t1:or;ordinaries:[{ordinary:pilesInPoint;t:vert}];charges:[{charge:catPassantGuardant;t:gules;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Mar%27th%27tesh&population=1386&size=10&seed=8563657060787&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
788,Tlindrinlean,Concatia,Concatia Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,1245,522.69,526.32,39.42,-21.41,5788,39°F,Reykjavik,,,,walls,plaza,temple,shanty town,{t1:or;ordinaries:[{ordinary:pilesInPoint;t:gules}];charges:[{charge:castle;t:azure;p:e;t2:azure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Tlindrinlean&population=1245&size=9&seed=8563657060788&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
789,Tsinwaihang,Nauma,Nauma Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of the Realm,121,1554.84,527.95,39.34,29.12,948,55°F,Milan,,,,,,,,{t1:or;charges:[{charge:anvil;t:gules;p:def;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=121&name=&seed=8563657060789&width=600&height=273&tags=pond%2Chighway%2Cno+square
790,Ma'jas,Imins,Imins Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Craft,393,919.95,533.81,39.06,-1.96,2759,52°F,Antwerp,,,,,,,,{t1:or;charges:[{charge:agnusDei;t:azure;p:e;t2:azure;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=393&name=&seed=8563657060790&width=800&height=364&tags=highway%2Cno+square%2Cdense
791,Gan'tugash,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,123,1080.33,530.86,39.2,5.89,948,57°F,Batumi,,,,,,,,{t1:chequy-azure-or;division:{division:perPale;t:argent;line:straight};charges:[{charge:cavalier;t:sable;p:p;t2:gules;t3:sable;size:0.7};{charge:bee;t:gules;p:q;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=123&name=&seed=8563657060791&width=600&height=273&tags=river%2Chighway%2Cno+square
792,Cyrande,The East,The East Province,Ulbagra'a,Ulbagra'an Empire,Nevterish,Deities of Nature,117,511.19,535.63,38.97,-21.97,6644,37°F,Tromsø,,,,,plaza,,,{t1:azure;charges:[{charge:tower;t:argent;p:abc;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=117&name=&seed=8563657060792&width=600&height=273&tags=dead+end
793,Shass,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,376,1065.62,537.73,38.87,5.17,1063,57°F,Batumi,,,,,plaza,,,{t1:bendy-gules-argent;division:{division:chevronny;t:or};charges:[{charge:cinquefoil;t:vert;p:e;size:1.5;reversed:1}];shield:heater},https://watabou.github.io/village-generator/?pop=376&name=&seed=8563657060793&width=800&height=364&tags=highway%2Cdense
794,Lelius,Thelippa,Thelippa Province,West Esla,Kingdom of West Esla,Esla'rei,Deities of Wisdom,618,1331.83,535.83,38.96,18.2,30,61°F,Dubrovnik,,,,,plaza,,,{t1:or;ordinaries:[{ordinary:chief;t:purpure;line:straight}];charges:[{charge:archer;t:argent;p:abc;t2:gules;t3:argent;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=618&name=&seed=8563657060794&width=1000&height=455&tags=highway%2Cdense
795,Krapjarres,Imins,Imins Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,116,922.61,540.43,38.74,-1.83,4738,45°F,Halifax,,,,,plaza,,,{t1:azure;division:{division:perPale;t:argent;line:straight};ordinaries:[{ordinary:bend;t:or;line:straight}];charges:[{charge:frog;t:azure;p:jo;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=116&name=&seed=8563657060795&width=600&height=273&tags=highway
796,Ma'jas,Imins,Imins Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,1096,951.46,541.18,38.7,-0.42,1588,55°F,Milan,,,,walls,plaza,,,{t1:palyBendy-or-purpure-small;charges:[{charge:bookClosed;t:gules;p:e;t2:gules;t3:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ma%27jas&population=1096&size=9&seed=8563657060796&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
797,Porzea,Old Vostis,Old Vostis,Vostis,Vostish Kingdom,Therini,Deities of Wisdom,191,1732.88,542.87,38.62,37.84,397,59°F,Rome,,,citadel,,,,,{t1:sable;division:{division:perFess;t:or;line:invecked};charges:[{charge:billet;t:argent;p:k;size:0.7};{charge:lionRampant;t:gules;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Porzea&population=191&size=6&seed=8563657060797&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
798,Hlurthesa,Omnev,Omnev Province,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,116,520.96,551.67,38.19,-21.49,5250,43°F,Stockholm,,,citadel,,plaza,,,{t1:argent;division:{division:perFess;t:gules;line:urdy};ordinaries:[{ordinary:piles;t:vert}];shield:heater},https://watabou.github.io/city-generator/?name=Hlurthesa&population=116&size=6&seed=8563657060798&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
799,Porrun,G'risia,G'risia Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,658,1027.83,549.74,38.28,3.32,13,61°F,Dubrovnik,,,,,plaza,,,{t1:vert;charges:[{charge:bridge;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=658&name=&seed=8563657060799&width=1000&height=455&tags=dead+end%2Cdense
800,Kepjiph,Armilia,Armilia Province,West Esla,Kingdom of West Esla,Kili'ini,Deities of Trade,122,1151.8,554.3,38.06,9.39,643,59°F,Rome,,,,,,,,{t1:vert;charges:[{charge:pineTree;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=122&name=&seed=8563657060800&width=600&height=273&tags=dead+end%2Cno+square
801,Ruth'jess,Armilia,Armilia Province,West Esla,Kingdom of West Esla,Kili'ini,Deities of Trade,1561,1191.71,557.64,37.9,11.34,1736,55°F,Milan,,,citadel,walls,plaza,,,{t1:or;charges:[{charge:bee;t:gules;p:abcpqh;t2:gules;t3:purpure;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ruth%27jess&population=1561&size=10&seed=8563657060801&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
802,Evanoratum,Ti'yare,Ti'yare Province,Esla,Eslan Empire,Esla'rei,Deities of the Realm,811,1440.15,557.5,37.91,23.51,13,61°F,Dubrovnik,,,,,plaza,,,{t1:sable;charges:[{charge:horseshoe;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=811&name=&seed=8563657060802&width=1000&height=455&tags=dead+end%2Cdense
803,Dretheiree,The East,The East Province,Ulbagra'a,Ulbagra'an Empire,Nevterish,Deities of Nature,115,506.51,563.23,37.63,-22.2,6067,39°F,Reykjavik,,,,,,,,{t1:gules;ordinaries:[{ordinary:bend;t:or;line:straight}];charges:[{charge:tower;t:gules;p:jo;t2:or;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=115&name=&seed=8563657060803&width=600&height=273&tags=dead+end%2Cno+square
804,Cizreshje,Armilia,Armilia Province,West Esla,Kingdom of West Esla,Kili'ini,Deities of Trade,1178,1163.2,564.7,37.56,9.95,210,61°F,Dubrovnik,,,,walls,plaza,,,{t1:argent;charges:[{charge:crossFormee2;t:purpure;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Cizreshje&population=1178&size=9&seed=8563657060804&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
805,Roridinobo,Thelippa,Thelippa Province,West Esla,Kingdom of West Esla,Esla'rei,Deities of the Realm,117,1382.8,568.6,37.37,20.7,118,61°F,Dubrovnik,,,,walls,plaza,,,{t1:argent;division:{division:chevronny;t:sable};ordinaries:[{ordinary:canton;t:azure}];shield:heater},https://watabou.github.io/city-generator/?name=Roridinobo&population=117&size=6&seed=8563657060805&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
806,Gaf Aimyhoma,Kasaliannead,Kasaliannead Province,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,1720,654.95,571.83,37.21,-14.93,2392,52°F,Antwerp,,,,,plaza,temple,,{t1:argent;ordinaries:[{ordinary:pileInBend;t:gules}];charges:[{charge:tower;t:argent;p:e;t2:vert;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Gaf+Aimyhoma&population=1720&size=11&seed=8563657060806&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
807,Mougalheiei,Carvalgia,Carvalgia Province,Hethi,Council of Hethi,Therini,Deities of Wisdom,1816,1698.4,572.23,37.19,36.15,328,59°F,Rome,,,,walls,plaza,temple,shanty town,{t1:sable;charges:[{charge:portcullis;t:argent;p:kn;t2:or;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Mougalheiei&population=1816&size=11&seed=8563657060807&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
808,Coth'kess,Mal'it,Mal'it Province,Irdre,Irdrean Consulate,Kili'ini,Deities of Trade,798,953.35,577.68,36.92,-0.33,4492,45°F,Halifax,,,citadel,walls,plaza,,,{t1:gules;charges:[{charge:mace;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Coth%27kess&population=798&size=8&seed=8563657060808&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
809,Vullen,G'risia,G'risia Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,592,1089.15,578.35,36.89,6.32,52,61°F,Dubrovnik,,,,,plaza,,,{t1:azure;charges:[{charge:pear;t:argent;p:abcpqh;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=592&name=&seed=8563657060809&width=1000&height=455&tags=river%2Cdead+end%2Cdense
810,Yethsa,Kasaliannead,Kasaliannead Province,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,805,659.1,582.6,36.69,-14.73,5250,43°F,Stockholm,,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:castle2;t:gules;p:e;t2:gules;t3:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Yethsa&population=805&size=8&seed=8563657060810&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
811,Fillelian,Gelulallesa,Gelulallesa Province,Varcii,Varciian Commonwealth,Nevterish,Deities of Nature,873,686.62,582.21,36.7,-13.38,4019,46°F,Prague,,,citadel,,plaza,,,{t1:sable;division:{division:gyronny;t:or};charges:[{charge:crossClechy;t:argent;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Fillelian&population=873&size=8&seed=8563657060811&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
812,Thelahoress,Reine,Reine Province,Varcii,Varciian Commonwealth,Nevterish,Deities of Nature,173,786.61,579.58,36.83,-8.49,3153,50°F,London,,,,,plaza,,,{t1:purpure;charges:[{charge:inescutcheon;t:argent;p:e;size:1.5};{charge:lymphad;t:purpure;p:e;size:0.75}];shield:heater},https://watabou.github.io/village-generator/?pop=173&name=&seed=8563657060812&width=600&height=273&tags=river%2Cdead+end
813,Ayranoke,Mahdka,Mahdka Province,Mildavem,Mildavemish Empire,Maysiolian,Deities of Nature,813,821.42,587.74,36.44,-6.78,2392,52°F,Antwerp,,,citadel,walls,plaza,,,{t1:purpure;ordinaries:[{ordinary:fess;t:argent;line:embattledNotched}];charges:[{charge:mullet7;t:azure;p:def;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ayranoke&population=813&size=8&seed=8563657060813&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
